27	298	2
27	377	2
27	676	1
27	715	1
27	788	1
27	819	2
27	2101	1
30	146	1
30	298	3
30	842	1
30	1179	2
30	1301	1
30	1391	2
30	1826	1
30	2289	1
30	2445	1
30	2505	1
44	194	1
44	298	2
44	525	1
44	1179	1
44	1379	1
44	1395	1
44	1645	1
44	2080	1
44	2314	1
44	2335	1
48	269	1
48	298	4
48	1301	2
48	1395	1
48	1399	1
74	298	3
74	967	1
74	1020	1
74	1139	1
74	1179	1
74	1333	1
74	1395	1
74	1645	1
74	1806	1
74	2080	1
125	289	1
125	298	3
125	377	1
125	715	2
125	1071	1
125	1119	2
125	1129	1
125	1179	1
125	1379	1
125	1395	1
126	715	1
126	905	1
126	1119	1
126	2060	3
146	289	1
146	298	5
146	676	1
146	842	1
146	905	1
146	1179	1
146	1379	2
146	2445	1
146	2505	2
173	298	4
173	424	2
173	1179	1
173	1451	1
173	1605	1
173	1647	1
173	2080	1
173	2289	1
173	2335	1
173	2445	2
194	298	2
194	333	1
194	1161	1
194	1179	1
194	1451	2
225	240	2
225	298	3
225	1379	1
225	1395	2
225	1548	1
225	1645	1
225	1944	1
225	2335	1
240	252	4
240	298	8
240	333	1
240	660	1
240	1161	1
240	1283	1
240	1395	2
240	1451	1
240	1548	1
240	1605	1
252	298	7
252	333	1
252	968	1
252	1283	1
252	1379	1
252	1548	1
252	1605	1
252	1969	1
252	2264	1
252	2445	1
254	298	4
254	377	1
254	1179	1
254	1969	1
260	298	1
260	1071	2
260	1179	1
260	1548	1
260	1806	1
260	1826	1
260	1944	1
260	2397	1
269	298	15
269	660	2
269	676	9
269	842	1
269	967	1
269	1179	1
269	1395	2
269	1548	2
269	2178	1
269	2341	1
269	2445	1
289	298	5
289	905	1
289	967	1
289	1179	1
289	2445	2
289	2505	1
298	333	4
298	377	5
298	396	2
298	419	2
298	424	2
298	525	4
298	539	1
298	567	2
298	660	8
298	676	22
298	715	1
298	724	4
298	788	10
298	819	4
298	842	2
298	905	8
298	967	6
298	968	1
298	986	2
298	1020	8
298	1071	2
298	1129	5
298	1139	1
298	1161	10
298	1179	16
298	1218	5
298	1283	3
298	1301	9
298	1333	3
298	1345	1
298	1348	1
298	1379	16
298	1389	1
298	1391	2
298	1395	20
298	1399	11
298	1451	7
298	1526	2
298	1548	18
298	1590	2
298	1605	2
298	1645	2
298	1647	1
298	1806	2
298	1816	3
298	1826	1
298	1944	1
298	1969	7
298	2060	2
298	2101	3
298	2178	5
298	2189	2
298	2197	2
298	2201	3
298	2237	2
298	2264	4
298	2289	3
298	2303	2
298	2314	4
298	2318	3
298	2335	4
298	2341	2
298	2397	6
298	2445	18
298	2468	2
298	2505	6
333	525	1
333	1605	1
333	1969	1
333	2314	1
333	2318	1
377	676	1
377	724	1
377	819	2
377	905	1
377	1020	1
377	1071	1
377	1179	2
377	1283	1
