4	77	1
4	78	1
4	109	1
4	131	1
4	233	2
11	104	1
11	106	1
11	107	2
11	142	1
11	209	1
11	233	1
26	142	1
26	150	1
26	236	1
29	106	1
29	233	2
39	104	1
39	131	1
39	233	3
39	254	1
59	63	2
59	196	2
59	212	2
59	233	2
63	78	1
63	196	2
63	212	2
63	228	1
63	233	2
63	236	1
74	107	1
74	142	2
74	233	1
77	78	1
77	91	1
77	233	1
78	207	1
78	228	1
78	233	1
78	236	1
80	106	1
80	233	3
80	268	1
84	106	2
84	124	2
84	233	2
84	243	2
86	228	3
86	233	3
86	270	2
91	132	1
91	233	1
104	106	2
104	107	2
104	109	1
104	131	1
104	137	1
104	142	1
104	209	1
104	233	3
104	268	1
106	107	2
106	109	1
106	124	2
106	142	1
106	209	1
106	233	5
106	236	1
106	243	2
106	268	1
107	109	1
107	142	1
107	209	3
107	233	2
107	268	1
109	131	1
109	233	3
109	268	1
110	228	1
124	233	2
124	243	2
131	233	2
132	137	1
132	150	1
132	233	1
137	142	1
137	150	1
137	233	2
142	197	1
142	207	1
142	216	2
142	228	1
142	233	5
142	236	1
150	233	1
150	236	1
157	233	1
196	212	2
196	233	1
197	236	1
197	254	1
207	216	1
207	233	1
212	233	1
216	233	1
228	233	4
228	236	1
228	270	2
233	236	1
233	243	2
233	254	1
233	268	2
233	270	2
