28	317	2
28	404	2
28	729	1
28	770	1
28	855	1
28	887	2
28	2286	1
31	151	1
31	317	3
31	912	1
31	1296	2
31	1425	1
31	1517	2
31	1982	1
31	2482	1
31	2644	1
31	2708	1
45	202	1
45	317	2
45	569	1
45	1296	1
45	1505	1
45	1521	1
45	1779	1
45	2263	1
45	2507	1
45	2528	1
49	107	1
49	286	1
49	317	4
49	1425	2
49	1521	1
49	1525	1
76	317	3
76	1041	1
76	1117	1
76	1252	1
76	1296	1
76	1457	1
76	1521	1
76	1779	1
76	1957	1
76	2263	1
107	271	1
107	317	1
107	779	1
107	1179	1
107	1296	2
107	1425	1
107	2591	1
130	307	1
130	317	3
130	404	1
130	770	2
130	1179	1
130	1229	2
130	1240	1
130	1296	1
130	1505	1
130	1521	1
130	2158	1
131	770	1
131	977	1
131	1229	1
131	2242	3
151	307	1
151	317	5
151	729	1
151	912	1
151	977	1
151	1296	1
151	1505	2
151	2644	1
151	2708	2
181	317	4
181	455	2
181	1296	1
181	1581	1
181	1738	1
181	1781	1
181	2263	1
181	2482	1
181	2528	1
181	2644	2
202	317	2
202	352	1
202	1277	1
202	1296	1
202	1581	2
240	257	2
240	317	3
240	1505	1
240	1521	2
240	1680	1
240	1779	1
240	2115	1
240	2528	1
257	269	4
257	289	1
257	317	8
257	352	1
257	713	1
257	1277	1
257	1406	1
257	1521	2
257	1581	1
257	1680	1
257	1738	1
269	317	7
269	352	1
269	1042	1
269	1406	1
269	1505	1
269	1680	1
269	1738	1
269	2141	1
269	2457	1
269	2644	1
271	317	4
271	404	1
271	1296	1
271	2141	1
277	317	1
277	1179	2
277	1296	1
277	1680	1
277	1957	1
277	1982	1
277	2115	1
277	2591	1
286	317	15
286	713	2
286	729	9
286	912	1
286	1041	1
286	1296	1
286	1521	2
286	1680	2
286	2366	1
286	2534	1
286	2644	1
289	317	5
289	713	1
289	887	1
289	1240	2
289	1296	2
289	1337	1
289	1505	1
289	1525	1
289	2141	1
289	2708	1
307	317	5
307	977	1
307	1041	1
307	1296	1
307	2644	2
307	2708	1
