variant_group_key,variant,count,group_total
sme,SMEs,12,23
sme,SME,10,23
sme,SMES,1,23
information system,Information systems,5,10
information system,Information System,3,10
information system,information system,1,10
information system,Information Systems,1,10
case study,Case studies,1,2
case study,Case study,1,2
process model,Process model,1,2
process model,Process models,1,2
